[2024-01-16 20:11:43] [INFO] device cuda is used.
[2024-01-16 20:11:43] [INFO] cudnn is actived.
[2024-01-16 20:11:43] [INFO] 
      alpha      :  0.5  
        T        :   6   
    algorithm    :   3   
num_server_commu :   5   
num_client_commu :   5   
num_client_train :  20   
num_public_train :  20   
   batch_size    :  160  
     dataset     : mnist 
  model_select   :   1   
 num_all_client  :   9   
 num_all_server  :   3   
 num_client_data : 1200  
 num_public_data :  50   
   proportion    :  0.8  
   num_workers   :   8   
[2024-01-16 20:11:46] [INFO] --------------------------------------------------
[2024-01-16 20:11:46] [INFO] |epoch_server_commu: 0/5
[2024-01-16 20:11:46] [INFO]  |epoch_client_commu: 0/5
[2024-01-16 20:11:46] [INFO]   |server: 0
[2024-01-16 20:11:46] [INFO]  ---client 0
[2024-01-16 20:11:47] [INFO] |  local epoch  : 0, acc 0.114
[2024-01-16 20:11:48] [INFO] |  local epoch  : 1, acc 0.098
[2024-01-16 20:11:48] [INFO] |  local epoch  : 2, acc 0.098
[2024-01-16 20:11:48] [INFO] |  local epoch  : 3, acc 0.098
[2024-01-16 20:11:49] [INFO] |  local epoch  : 4, acc 0.194
[2024-01-16 20:11:49] [INFO] |  local epoch  : 5, acc 0.238
[2024-01-16 20:11:49] [INFO] |  local epoch  : 6, acc 0.297
[2024-01-16 20:11:50] [INFO] |  local epoch  : 7, acc 0.300
[2024-01-16 20:11:50] [INFO] |  local epoch  : 8, acc 0.299
[2024-01-16 20:11:50] [INFO] |  local epoch  : 9, acc 0.301
[2024-01-16 20:11:51] [INFO] |  local epoch  : 10, acc 0.304
[2024-01-16 20:11:51] [INFO] |  local epoch  : 11, acc 0.302
[2024-01-16 20:11:51] [INFO] |  local epoch  : 12, acc 0.306
[2024-01-16 20:11:52] [INFO] |  local epoch  : 13, acc 0.308
[2024-01-16 20:11:52] [INFO] |  local epoch  : 14, acc 0.307
[2024-01-16 20:11:52] [INFO] |  local epoch  : 15, acc 0.308
[2024-01-16 20:11:53] [INFO] |  local epoch  : 16, acc 0.306
[2024-01-16 20:11:53] [INFO] |  local epoch  : 17, acc 0.307
[2024-01-16 20:11:54] [INFO] |  local epoch  : 18, acc 0.309
[2024-01-16 20:11:54] [INFO] |  local epoch  : 19, acc 0.309
[2024-01-16 20:11:54] [INFO]  ---client 1
[2024-01-16 20:11:54] [INFO] |  local epoch  : 0, acc 0.114
[2024-01-16 20:11:55] [INFO] |  local epoch  : 1, acc 0.098
[2024-01-16 20:11:55] [INFO] |  local epoch  : 2, acc 0.098
[2024-01-16 20:11:55] [INFO] |  local epoch  : 3, acc 0.098
[2024-01-16 20:11:56] [INFO] |  local epoch  : 4, acc 0.129
[2024-01-16 20:11:56] [INFO] |  local epoch  : 5, acc 0.298
[2024-01-16 20:11:56] [INFO] |  local epoch  : 6, acc 0.299
[2024-01-16 20:11:57] [INFO] |  local epoch  : 7, acc 0.301
[2024-01-16 20:11:57] [INFO] |  local epoch  : 8, acc 0.302
[2024-01-16 20:11:57] [INFO] |  local epoch  : 9, acc 0.303
[2024-01-16 20:11:58] [INFO] |  local epoch  : 10, acc 0.303
[2024-01-16 20:11:58] [INFO] |  local epoch  : 11, acc 0.305
[2024-01-16 20:11:58] [INFO] |  local epoch  : 12, acc 0.307
[2024-01-16 20:11:59] [INFO] |  local epoch  : 13, acc 0.308
[2024-01-16 20:11:59] [INFO] |  local epoch  : 14, acc 0.306
[2024-01-16 20:11:59] [INFO] |  local epoch  : 15, acc 0.306
[2024-01-16 20:12:00] [INFO] |  local epoch  : 16, acc 0.307
[2024-01-16 20:12:00] [INFO] |  local epoch  : 17, acc 0.309
[2024-01-16 20:12:00] [INFO] |  local epoch  : 18, acc 0.308
[2024-01-16 20:12:01] [INFO] |  local epoch  : 19, acc 0.309
[2024-01-16 20:12:01] [INFO]  ---client 2
[2024-01-16 20:12:01] [INFO] |  local epoch  : 0, acc 0.114
[2024-01-16 20:12:01] [INFO] |  local epoch  : 1, acc 0.202
[2024-01-16 20:12:02] [INFO] |  local epoch  : 2, acc 0.098
[2024-01-16 20:12:02] [INFO] |  local epoch  : 3, acc 0.098
[2024-01-16 20:12:03] [INFO] |  local epoch  : 4, acc 0.299
[2024-01-16 20:12:03] [INFO] |  local epoch  : 5, acc 0.294
[2024-01-16 20:12:03] [INFO] |  local epoch  : 6, acc 0.300
[2024-01-16 20:12:04] [INFO] |  local epoch  : 7, acc 0.301
[2024-01-16 20:12:04] [INFO] |  local epoch  : 8, acc 0.301
[2024-01-16 20:12:04] [INFO] |  local epoch  : 9, acc 0.299
[2024-01-16 20:12:05] [INFO] |  local epoch  : 10, acc 0.302
[2024-01-16 20:12:05] [INFO] |  local epoch  : 11, acc 0.307
[2024-01-16 20:12:05] [INFO] |  local epoch  : 12, acc 0.306
[2024-01-16 20:12:06] [INFO] |  local epoch  : 13, acc 0.309
[2024-01-16 20:12:06] [INFO] |  local epoch  : 14, acc 0.309
[2024-01-16 20:12:06] [INFO] |  local epoch  : 15, acc 0.309
[2024-01-16 20:12:07] [INFO] |  local epoch  : 16, acc 0.307
[2024-01-16 20:12:07] [INFO] |  local epoch  : 17, acc 0.307
[2024-01-16 20:12:07] [INFO] |  local epoch  : 18, acc 0.310
[2024-01-16 20:12:08] [INFO] |  local epoch  : 19, acc 0.310
[2024-01-16 20:12:08] [INFO] |servers comunicated: 0, server aggregated: 0, acc_server 0: 0.310.
[2024-01-16 20:12:08] [INFO] --------------------------------------------------
[2024-01-16 20:12:08] [INFO]   |server: 1
[2024-01-16 20:12:08] [INFO]  ---client 3
[2024-01-16 20:12:08] [INFO] |  local epoch  : 0, acc 0.101
[2024-01-16 20:12:09] [INFO] |  local epoch  : 1, acc 0.114
[2024-01-16 20:12:09] [INFO] |  local epoch  : 2, acc 0.098
[2024-01-16 20:12:09] [INFO] |  local epoch  : 3, acc 0.098
[2024-01-16 20:12:10] [INFO] |  local epoch  : 4, acc 0.172
[2024-01-16 20:12:10] [INFO] |  local epoch  : 5, acc 0.184
[2024-01-16 20:12:10] [INFO] |  local epoch  : 6, acc 0.241
[2024-01-16 20:12:11] [INFO] |  local epoch  : 7, acc 0.232
[2024-01-16 20:12:11] [INFO] |  local epoch  : 8, acc 0.248
[2024-01-16 20:12:11] [INFO] |  local epoch  : 9, acc 0.254
[2024-01-16 20:12:12] [INFO] |  local epoch  : 10, acc 0.260
[2024-01-16 20:12:12] [INFO] |  local epoch  : 11, acc 0.266
[2024-01-16 20:12:12] [INFO] |  local epoch  : 12, acc 0.266
